# JLPT N5 Vocabulary — Import File for JapanE 学
# Format: Kanji [Tab] Reading [Tab] Meaning [Tab] Example Sentence
# Lines starting with # are ignored
# ─────────────────────────────────────────────────────────────────

# ── Numbers ───────────────────────────────────────────────────────
一	いち	one	一つのりんご。 One apple.
二	に	two	二人の学生。 Two students.
三	さん	three	三時に会いましょう。 Let's meet at three o'clock.
四	し / よん	four	四月は春です。 April is spring.
五	ご	five	五分待ってください。 Please wait five minutes.
六	ろく	six	六時に起きます。 I wake up at six o'clock.
七	しち / なな	seven	七日間。 Seven days.
八	はち	eight	八月は暑い。 August is hot.
九	く / きゅう	nine	九時に寝ます。 I go to bed at nine o'clock.
十	じゅう	ten	十円のお菓子。 Ten-yen candy.
百	ひゃく	hundred	百円ショップ。 100-yen shop.
千	せん	thousand	千円札。 A thousand-yen bill.
万	まん	ten thousand	一万円。 Ten thousand yen.
零	ぜろ / れい	zero	零点。 Zero points.

# ── Time ──────────────────────────────────────────────────────────
今	いま	now	今何時ですか。 What time is it now?
日	にち / ひ	day / sun	今日は晴れです。 Today is sunny.
月	つき / がつ	month / moon	来月また会いましょう。 Let's meet again next month.
年	ねん / とし	year	今年は何年ですか。 What year is it this year?
時	じ / とき	hour / time	三時です。 It is three o'clock.
分	ふん / ぷん	minute	五分後に来てください。 Please come in five minutes.
朝	あさ	morning	朝ご飯を食べます。 I eat breakfast.
昼	ひる	noon / daytime	昼ご飯はどこで食べますか。 Where do you eat lunch?
夜	よる	night	夜は静かです。 The night is quiet.
今日	きょう	today	今日は月曜日です。 Today is Monday.
明日	あした	tomorrow	明日また来てください。 Please come again tomorrow.
昨日	きのう	yesterday	昨日映画を見ました。 I watched a movie yesterday.
今週	こんしゅう	this week	今週は忙しいです。 I am busy this week.
来週	らいしゅう	next week	来週テストがあります。 There is a test next week.
先週	せんしゅう	last week	先週の月曜日。 Last Monday.
今月	こんげつ	this month	今月は三月です。 This month is March.
来月	らいげつ	next month	来月旅行します。 I will travel next month.
去年	きょねん	last year	去年日本に行きました。 I went to Japan last year.
来年	らいねん	next year	来年大学に入ります。 I will enter university next year.
午前	ごぜん	AM / morning	午前十時。 Ten AM.
午後	ごご	PM / afternoon	午後三時に会議があります。 There is a meeting at 3 PM.
週末	しゅうまつ	weekend	週末は何をしますか。 What do you do on weekends?
毎日	まいにち	every day	毎日日本語を勉強します。 I study Japanese every day.
毎朝	まいあさ	every morning	毎朝コーヒーを飲みます。 I drink coffee every morning.
毎晩	まいばん	every evening	毎晩本を読みます。 I read a book every evening.

# ── Days of the Week ──────────────────────────────────────────────
月曜日	げつようび	Monday	月曜日は学校があります。 I have school on Monday.
火曜日	かようび	Tuesday	火曜日に映画を見ます。 I watch a movie on Tuesday.
水曜日	すいようび	Wednesday	水曜日に友達と会います。 I meet a friend on Wednesday.
木曜日	もくようび	Thursday	木曜日はテストがあります。 There is a test on Thursday.
金曜日	きんようび	Friday	金曜日が好きです。 I like Friday.
土曜日	どようび	Saturday	土曜日に掃除します。 I clean on Saturday.
日曜日	にちようび	Sunday	日曜日に休みます。 I rest on Sunday.

# ── People & Pronouns ─────────────────────────────────────────────
私	わたし	I / me	私は学生です。 I am a student.
僕	ぼく	I / me (male)	僕は十八歳です。 I am eighteen years old.
あなた	あなた	you	あなたの名前は何ですか。 What is your name?
彼	かれ	he / boyfriend	彼は背が高いです。 He is tall.
彼女	かのじょ	she / girlfriend	彼女は先生です。 She is a teacher.
人	ひと / じん	person	あの人は誰ですか。 Who is that person?
方	かた	person (polite)	あの方はどなたですか。 Who is that person (polite)?
友達	ともだち	friend	友達と映画を見ます。 I watch a movie with my friend.
家族	かぞく	family	家族は四人です。 My family has four people.
父	ちち	(my) father	父は会社員です。 My father is a company employee.
母	はは	(my) mother	母は料理が上手です。 My mother is good at cooking.
兄	あに	(my) older brother	兄は大学生です。 My older brother is a university student.
姉	あね	(my) older sister	姉は結婚しています。 My older sister is married.
弟	おとうと	(my) younger brother	弟はまだ小学生です。 My younger brother is still in elementary school.
妹	いもうと	(my) younger sister	妹はかわいいです。 My younger sister is cute.
子供	こども	child	子供が公園で遊んでいます。 A child is playing in the park.
学生	がくせい	student	私は学生です。 I am a student.
先生	せんせい	teacher	田中先生は親切です。 Teacher Tanaka is kind.
医者	いしゃ	doctor	医者に行きました。 I went to the doctor.

# ── Common Verbs ──────────────────────────────────────────────────
食べる	たべる	to eat	ご飯を食べます。 I eat rice.
飲む	のむ	to drink	水を飲みます。 I drink water.
見る	みる	to see / to watch	テレビを見ます。 I watch television.
聞く	きく	to listen / to ask	音楽を聞きます。 I listen to music.
話す	はなす	to speak / to talk	日本語を話します。 I speak Japanese.
読む	よむ	to read	本を読みます。 I read a book.
書く	かく	to write	手紙を書きます。 I write a letter.
行く	いく	to go	学校に行きます。 I go to school.
来る	くる	to come	友達が来ます。 My friend comes.
帰る	かえる	to return / go home	家に帰ります。 I go home.
起きる	おきる	to wake up	七時に起きます。 I wake up at seven.
寝る	ねる	to sleep / go to bed	十一時に寝ます。 I go to bed at eleven.
買う	かう	to buy	本を買います。 I buy a book.
売る	うる	to sell	店で野菜を売ります。 I sell vegetables at the store.
作る	つくる	to make / to cook	料理を作ります。 I make food.
使う	つかう	to use	パソコンを使います。 I use a computer.
開ける	あける	to open	ドアを開けます。 I open the door.
閉める	しめる	to close	窓を閉めます。 I close the window.
入る	はいる	to enter	部屋に入ります。 I enter the room.
出る	でる	to exit / to leave	外に出ます。 I go outside.
乗る	のる	to ride / to get on	電車に乗ります。 I ride the train.
降りる	おりる	to get off / descend	バスを降ります。 I get off the bus.
会う	あう	to meet	友達に会います。 I meet my friend.
待つ	まつ	to wait	駅で待ちます。 I wait at the station.
立つ	たつ	to stand up	立ってください。 Please stand up.
座る	すわる	to sit down	椅子に座ります。 I sit on a chair.
歩く	あるく	to walk	駅まで歩きます。 I walk to the station.
走る	はしる	to run	毎朝走ります。 I run every morning.
泳ぐ	およぐ	to swim	海で泳ぎます。 I swim in the sea.
働く	はたらく	to work	会社で働きます。 I work at a company.
勉強する	べんきょうする	to study	日本語を勉強します。 I study Japanese.
練習する	れんしゅうする	to practice	毎日練習します。 I practice every day.
洗う	あらう	to wash	手を洗います。 I wash my hands.
掃除する	そうじする	to clean	部屋を掃除します。 I clean my room.
電話する	でんわする	to call / phone	友達に電話します。 I call my friend.
分かる	わかる	to understand	日本語が分かります。 I understand Japanese.
知る	しる	to know / to find out	彼の名前を知っています。 I know his name.
忘れる	わすれる	to forget	宿題を忘れました。 I forgot my homework.
覚える	おぼえる	to remember / to memorize	漢字を覚えます。 I memorize kanji.
持つ	もつ	to hold / to have	かばんを持ちます。 I carry my bag.
あげる	あげる	to give (to someone)	プレゼントをあげます。 I give a present.
もらう	もらう	to receive	プレゼントをもらいます。 I receive a present.
見せる	みせる	to show	写真を見せてください。 Please show me the photo.
教える	おしえる	to teach / to tell	日本語を教えます。 I teach Japanese.
思う	おもう	to think	そう思います。 I think so.
言う	いう	to say	何を言いましたか。 What did you say?
する	する	to do	何をしますか。 What will you do?
ある	ある	there is (inanimate)	本があります。 There is a book.
